molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL227748,24,C,-0.02511208062557616,-6.507455563977209e-05,-0.012432700659510701,-0.33370018908160537,1.2069846706672807,-1.1177462634941597,0.0,0.26756989761743455,0.0,0.2494676906334066
CHEMBL227748,25,C,-0.1014076939482209,-0.0005324465653808019,-0.02367841546513083,-1.3837211136465584,5.004673721392159,-4.613083034032624,0.0,1.0864473767051634,-0.024370965224562363,0.20829685998002714
CHEMBL227748,26,N,0.03333946038168756,-0.00025479049463830353,-0.024973903422898402,-1.5623400247742731,5.822896524635706,-5.565328097694101,0.0,1.4584329478168678,-0.4173527794706305,0.00838876774290348
CHEMBL227748,27,C,-0.07644710059670332,-0.0003454884420545827,-0.034845399606702854,-1.1534226498538258,4.134576803717731,-3.7886525657322294,0.0,0.9049578190231176,-0.024370965224562363,0.22541988404995264
CHEMBL227748,28,C,-0.1099442497389473,-0.0003850819226476852,-0.0401435645727477,-1.0722077817674427,3.828797154498073,-3.5061456121398304,0.0,0.8197005173440682,-0.024370965224562363,0.15926984724114537
CHEMBL3740699,1,O,-0.021229418789141072,-0.0016726063290915512,-0.002167207545642795,-0.6473078149196696,2.089961115104994,-3.142257751573902,0.2546796997878361,1.8061703126960413,-0.6316141820699078,-0.10093406254834913
CHEMBL3740699,2,P,-0.5267705867651773,-0.07521711904595509,-0.008093776246704567,-3.408650615216861,9.825582643956288,-16.04613820852974,0.9890844150108811,10.863966574002372,-2.1385521984553475,-0.3302850802001065
CHEMBL3740699,3,O,-0.05109800911591377,-0.0016061603942822105,-0.0020246484495015566,-0.6527811916679755,2.041161428399794,-3.476586904495772,0.10257399160554519,1.851691808794265,-0.6884797675938867,-0.6826456618275927
CHEMBL3740699,4,O,-0.021229418789141072,-0.0016726063290915514,-0.002167207545642794,-0.64730781491967,2.089961115104994,-3.142257751573903,0.2546796997878361,1.8061703126960422,-0.6316141820699078,-0.10093406254834913
CHEMBL3740699,5,O,0.028503692465413805,-0.0020991440823879405,-0.01495708974205033,-1.8292871167983034,5.95821101464267,-6.292675674733906,0.10257399160554519,2.3954397447570357,-0.18278223918421777,0.3574309700199345
CHEMBL3740699,6,C,-0.27274443546782395,-0.0009157452722898576,-0.06380305047662771,-2.105066264645152,7.656757306488261,-6.779400432626718,0.0,1.6687328651787536,0.27620427254504004,0.574268306813579
