       mol;    enlace;       Std;       Dip;      Dip2;       Hyd;      Pols;       Mol;       Pol;       Van;       Gas;       Ato;        r2;      pi2h;       b2h;       b2o;       l16
       6.0;      21.0;       1.4;      1.51;      1.39;  0.396025;       0.0;     1.752;   0.56125;     1.925;  -0.06216;  22.00075;  -0.13325;  -0.02425;  -0.02675;  -0.02125;  -0.03225
       6.0;      22.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05309;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       6.0;      23.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.084517;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
       6.0;      24.0;      1.33;       0.4;      0.45; -0.207983;      1.08;    1.9895;  0.851833;  1.383333; -0.084517;   10.6745;  0.073333;  0.107667;  0.217667;  0.218333;  0.382833
       6.0;      25.0;      1.38;       0.0;       0.0;   -0.2035;       0.0;     2.753;     1.061;       1.7;  0.041061;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
       6.0;      26.0;      1.33;      0.86;       0.7;  -0.13595;     4.615;     1.919;     0.849;     1.625; -0.159698;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
       6.0;      27.0;      1.33;      0.86;       0.7;  -0.13595;     4.615;     1.919;     0.849;     1.625; -0.159698;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
       6.0;      28.0;      1.38;       0.0;       0.0;   -0.2035;       0.0;     2.753;     1.061;       1.7;  0.041061;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
       6.0;      29.0;      1.33;      0.86;       0.7;   -0.3115;     4.615;    1.9675;     0.849;     1.625; -0.111387;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
       6.0;      30.0;      1.33;      0.86;       0.7;   -0.3115;     4.615;    1.9675;     0.849;     1.625; -0.111323;    14.005;     0.007;    0.0925;    0.1055;     0.113;    0.4295
       7.0;       1.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.451274; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       7.0;       2.0;       1.4;       0.0;       0.0;  0.260283;       0.0;  2.959333;      1.58;  1.416667;  0.046908; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       7.0;       3.0;       1.4;       0.0;       0.0;  0.362467;       0.0;  2.568667;     1.264;  1.133333;  0.111703;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       7.0;       4.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.016213; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       7.0;       5.0;       1.4;       0.0;       0.0;  0.090667;       0.0;  2.339333;     1.264;  1.133333; -0.016896;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       7.0;       6.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333; -0.002883;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       7.0;       7.0;       1.4;       0.0;       0.0;     0.127;       0.0;  2.357667;     1.264;  1.133333;    0.0232;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       7.0;       8.0;      1.45;      0.68;       0.0;  0.019533;       0.0;  2.413667;    1.1625;  1.416667;   -0.0134; 10.009167;      0.06;  0.033667;       0.0;       0.0;    0.4575
       7.0;       9.0;      1.71;      1.56;      1.47;  0.771167;       0.0;     7.041;     2.947;  2.366667; -0.049899; 39.456667;     0.083;  0.115667;       0.0;       0.0;     0.877
       7.0;      10.0;       1.4;       0.0;       0.0;    0.2629;       0.0;  2.472333;     1.264;  1.133333;  0.088679;  8.007333;      0.12;  0.067333;       0.0;       0.0;     0.416
       7.0;      11.0;       0.0;      0.86;       0.7; -0.108067;     20.23;  2.108133;     1.269;  2.116667; -0.444463; 20.002667;     0.121;  0.280667;     0.307;     0.311;      0.88
       7.0;      12.0;      1.38;       0.0;       0.0;  -0.12755;       0.0;    2.6205;     1.061;       1.7;  -0.00705;    12.011;       0.0;       0.0;       0.0;       0.0;     0.499
       7.0;      13.0;       0.0;       0.4;      0.45;  -0.45655;     6.015;     2.463;    1.0125;      1.65; -0.158094;    13.009;     0.069;    0.1325;    0.2705;    0.2715;    0.5335
